Country,WF,WTG,Generation,Type,Power,Component,Material Code,Material Description,'Consumption'[Date],Age (d),Sum of Q,Unit,Order,Order Exchange
Poland,WFG-PO-03,90567,SIGMA,N100,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2015-01-01 00:00:00,1,1,PCE,SYN-ORD-738550,SYN-EX-01
Turkey,WFG-TU-03,87868,SIGMA,N100,2500,Pitch Converter,R33318,frequency converter Pitchmaster2+E40,2025-10-31 00:00:00,299,1,PCE,SYN-ORD-961404,SYN-EX-06
Sweden,WFG-SW-03,90089,SIGMA,N90,2500,Generator,GEN-4201,Generator control module,2020-09-18 00:00:00,300,1,PCE,SYN-ORD-969772,SYN-EX-05
Ireland,WFG-IR-02,89164,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2021-06-27 00:00:00,306,1,PCE,SYN-ORD-863497,SYN-EX-07
Germany,WFG-GE-03,89720,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2024-01-23 00:00:00,316,1,PCE,SYN-ORD-805998,SYN-EX-09
Pakistan,WFG-PA-02,86752,SIGMA,N100,2500,Generator,GEN-4201,Generator control module,2015-07-31 00:00:00,318,1,PCE,SYN-ORD-924599,SYN-EX-04
Portugal,WFG-PO-03,88200,SIGMA,N90,2500,Gearbox,GBX-1180,Gearbox service component,2020-04-28 00:00:00,333,1,PCE,SYN-ORD-919536,SYN-EX-07
Poland,WFG-PO-03,88937,SIGMA,N100,2500,Gearbox,GBX-1180,Gearbox service component,2022-12-20 00:00:00,337,1,PCE,SYN-ORD-995547,SYN-EX-05
Germany,WFG-GE-03,86491,GAMMA,N149,4500,Gearbox,GBX-2044,Gearbox service component,2023-11-24 00:00:00,345,2,PCE,SYN-ORD-976213,SYN-EX-04
Turkey,WFG-TU-03,86406,SIGMA,N90,2500,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2021-01-01 00:00:00,349,1,PCE,SYN-ORD-883761,SYN-EX-02
Turkey,WFG-TU-03,86946,SIGMA,N90,2500,Pitch Converter,R39803-03,frequency converter Pitchmaster2+E40,2020-01-12 00:00:00,350,1,PCE,SYN-ORD-750643,SYN-EX-06
South Africa,WFG-SO-03,86703,DELTA,N131,3600,Pitch Converter,39803-03,frequency converter Pitchmaster2+E40,2020-04-26 00:00:00,365,1,PCE,SYN-ORD-814951,SYN-EX-03
United Kingdom,WFG-UN-03,86415,SIGMA,N90,2500,Yaw System,YAW-4402,Yaw drive frequency converter,2024-02-21 00:00:00,375,2,PCE,SYN-ORD-817285,SYN-EX-03
Netherlands,WFG-NE-03,86502,SIGMA,N100,2500,Generator,GEN-5210,Generator control module,2022-09-12 00:00:00,376,1,PCE,SYN-ORD-812026,SYN-EX-03
